baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R30W7	R8W7	R14W7	R2W7	R16W7	R10W7	R4W7	R18W7	R6W7	R12W7	R20W6	R1W7	R9W7	R3W7	R17W7	R19W7	R23W7	R11W7	R21W7	R7W7	R29W7	Significant	Description	Symbol	KO	Phylum
490.189467717608	0.11732432287622	0.207314109340725	0.56592541264712	0.571444485425107	0.751870365828131	512	638	599	362	328	474	730	816	307	414	689	380	425	372	631	603	406	337	448	343	479	No	UPF0755 protein	K07082	K07082	K07082
1287.07923211931	0.0595911084191217	0.198269312956083	0.300556387323142	0.76375279237008	0.8722998501898	1597	1629	1495	1097	1082	1025	1773	1607	779	1421	1471	927	1256	1240	1796	1425	1013	960	1205	884	1053	No	U32 family peptidase [EC:3.4.-.-]	prtC, trhP	K08303	K08303
1167.25544149278	0.0853557610924261	0.193055097158297	0.442131610865669	0.658393970963382	0.813007399893109	1293	1454	1383	1172	1059	1068	1750	1557	632	762	1449	1029	1313	1002	1656	1224	891	988	870	827	1057	No	alanyl-tRNA synthetase [EC:6.1.1.7]	AARS, alaS	K01872	K01872
329.57880725395	-0.0283146816463748	0.212778491356425	-0.133071164598798	0.894137099618013	0.950169058064601	384	396	362	361	298	358	340	330	246	262	374	327	198	340	376	375	290	291	334	196	333	No	histidine triad (HIT) family protein	HINT1, hinT, hit	K02503	K02503
892.738161541959	0.313628734128617	0.201885500008019	1.55349806754898	0.12030419057476	0.310617658503349	1310	1043	1095	668	632	768	1295	1199	420	842	1171	623	588	853	1460	1100	746	861	646	566	956	No	competence protein ComEC	comEC	K02238	K02238
442.073327530078	0.0730238291473207	0.19713077449269	0.370433430981263	0.711059568335883	0.844349977661437	598	511	499	417	337	464	590	485	297	339	497	412	242	449	604	694	368	448	370	262	410	No	DNA polymerase III subunit delta [EC:2.7.7.7]	holA	K02340	K02340
160.179870673733	0.550008910468857	0.325767049497594	1.68835034518407	0.0913439962328926	0.265282055822958	78	75	295	126	74	119	262	264	68	108	280	99	46	254	340	279	180	189	109	72	179	No	ribonuclease M5 [EC:3.1.26.8]	rnmV	K05985	K05985
235.661858272786	0.816062534376859	0.249548595982771	3.27015478152881	0.00107488652102443	0.0290655125482417	153	97	300	302	132	147	350	389	108	119	321	329	86	264	376	329	296	273	134	207	309	Yes	transcriptional repressor NrdR	nrdR	K07738	K07738
474.35291913213	0.0549781631078269	0.191607945958051	0.286930496712612	0.774165538845302	0.878177575526898	535	423	363	377	474	405	578	508	350	519	448	604	567	430	476	503	350	483	399	511	470	No	diaminopimelate epimerase [EC:5.1.1.7]	dapF	K01778	K01778
668.330604279722	-0.376382405418987	0.28676499872539	-1.3125116631804	0.189347553407934	0.406528384516391	748	1042	531	431	609	681	689	509	424	1220	493	518	952	1045	424	460	443	274	710	656	490	No	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	nagB, GNPDA	K02564	K02564
509.838585223222	0.468191584224008	0.245412952466766	1.90777047225089	0.0564208887430624	0.206827297072974	692	468	663	667	323	325	791	695	249	292	692	418	149	798	806	762	563	522	294	253	486	No	phosphoglucosamine mutase [EC:5.4.2.10]	glmM	K03431	K03431
