baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	Description	Symbol	KO	Phylum
494.522680261292	0.221271395861169	0.166119851041254	1.33199852079219	0.18286067458959	0.983537789322935	292	512	599	606	362	534	488	730	816	435	366	414	551	689	380	508	631	376	469	629	406	337	472	343	479	396	No	UPF0755 protein	K07082	K07082	K07082
1339.46516940183	0.0808189307505063	0.181553692973133	0.445151676217713	0.656210146110544	0.983537789322935	390	1597	1495	1908	1097	1596	1364	1773	1607	1652	1101	1421	1528	1471	927	1784	1796	1044	1294	1380	1013	960	1231	884	1053	1296	No	U32 family peptidase [EC:3.4.-.-]	prtC, trhP	K08303	K08303
1210.91190922118	0.111025822924606	0.174682960854195	0.635584732372828	0.525047123296367	0.983537789322935	506	1293	1383	1816	1172	901	1168	1750	1557	1121	671	762	1284	1449	1029	1966	1656	1122	1479	1522	891	988	1229	827	1057	978	No	alanyl-tRNA synthetase [EC:6.1.1.7]	AARS, alaS	K01872	K01872
346.095280567461	-0.0127637448513191	0.185513097821726	-0.0688023918590627	0.94514691417352	0.9907259195585	366	384	362	510	361	472	366	340	330	348	382	262	386	374	327	324	376	259	339	271	290	291	266	196	333	274	No	histidine triad (HIT) family protein	HINT1, hinT, hit	K02503	K02503
942.354119306569	0.226828402134061	0.172414811643976	1.31559696044239	0.188309354307102	0.983537789322935	375	1310	1095	1227	668	874	972	1295	1199	839	475	842	1094	1171	623	1102	1460	766	1209	946	746	861	942	566	956	940	No	competence protein ComEC	comEC	K02238	K02238
469.495695433815	0.0322805428333143	0.15785347892754	0.20449687300292	0.837965235348523	0.983537789322935	256	598	499	630	417	486	467	590	485	446	369	339	558	497	412	566	604	529	530	566	368	448	416	262	410	414	No	DNA polymerase III subunit delta [EC:2.7.7.7]	holA	K02340	K02340
186.276955465749	0.0935560669822092	0.263916256539492	0.354491489872317	0.722970580611677	0.983537789322935	168	78	295	203	126	122	195	262	264	110	67	108	306	280	99	224	340	114	338	158	180	189	197	72	179	208	No	ribonuclease M5 [EC:3.1.26.8]	rnmV	K05985	K05985
265.191095630665	0.351129013126373	0.235882814558047	1.48857395051968	0.136599595421764	0.983537789322935	146	153	300	398	302	157	305	350	389	75	79	119	314	321	329	313	376	210	440	206	296	273	296	207	309	265	No	transcriptional repressor NrdR	nrdR	K07738	K07738
488.997098530066	0.101737751479859	0.169573054573937	0.599964137789942	0.548530136098691	0.983537789322935	186	535	363	465	377	465	390	578	508	625	466	519	477	448	604	749	476	435	441	615	350	483	536	511	470	538	No	diaminopimelate epimerase [EC:5.1.1.7]	dapF	K01778	K01778
647.607104347855	-0.0746701685026724	0.25450569381375	-0.293392919363591	0.769221836979073	0.983537789322935	355	748	531	575	431	923	435	689	509	1200	962	1220	538	493	518	846	424	585	564	793	443	274	389	656	490	489	No	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	nagB, GNPDA	K02564	K02564
