baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R16W0	R14W0	R30W0	R8W0	R20W0	R6W0	R12W0	R18W0	R10W0	R4W0	R3W0	R17W0	R9W0	R1W0	R7W0	R29W0	R21W0	R11W0	R19W0	R23W0	Significant	Description	Symbol	KO	Phylum
490.095812099848	-0.258984234508367	0.208153708421116	-1.24419707183124	0.213427041190885	0.999901608208268	292	361	606	534	750	488	387	435	366	932	551	442	508	339	376	469	629	447	472	458	396	No	UPF0755 protein	K07082	K07082	K07082
1329.23645242703	-0.090818690393081	0.223970561826103	-0.405493872286641	0.685114521755448	0.999901608208268	390	1256	1908	1596	1496	1364	1072	1652	1101	2080	1528	982	1784	878	1044	1294	1380	1115	1231	1284	1296	No	U32 family peptidase [EC:3.4.-.-]	prtC, trhP	K08303	K08303
1149.9349360901	0.0323186564388538	0.230711849745225	0.140082342864241	0.888594931379534	0.999901608208268	506	1141	1816	901	1246	1168	760	1121	671	2073	1284	904	1966	613	1122	1479	1522	746	1229	1049	978	No	alanyl-tRNA synthetase [EC:6.1.1.7]	AARS, alaS	K01872	K01872
350.099137678907	-0.0172129888605794	0.247872472759461	-0.0694429222775502	0.944637064323077	0.999901608208268	366	320	510	472	260	366	321	348	382	292	386	339	324	214	259	339	271	307	266	461	274	No	histidine triad (HIT) family protein	HINT1, hinT, hit	K02503	K02503
847.417746468839	0.0722660571758763	0.208664690290389	0.34632623792414	0.729097552267202	0.999901608208268	375	635	1227	874	931	972	574	839	475	1235	1094	706	1102	566	766	1209	946	598	942	850	940	No	competence protein ComEC	comEC	K02238	K02238
462.51752375188	0.00867024789628332	0.193380325034737	0.0448352121381835	0.964238658075045	0.999901608208268	256	309	630	486	603	467	398	446	369	685	558	470	566	283	529	530	566	323	416	433	414	No	DNA polymerase III subunit delta [EC:2.7.7.7]	holA	K02340	K02340
167.990238723483	0.253671598112812	0.305003162237733	0.831701534671594	0.405577434198919	0.999901608208268	168	100	203	122	179	195	127	110	67	373	306	185	224	51	114	338	158	79	197	126	208	No	ribonuclease M5 [EC:3.1.26.8]	rnmV	K05985	K05985
222.739961501596	0.1406432617385	0.276971487804683	0.507789674862418	0.611600851546253	0.999901608208268	146	131	398	157	223	305	219	75	79	426	314	236	313	132	210	440	206	126	296	164	265	No	transcriptional repressor NrdR	nrdR	K07738	K07738
481.091415746754	-0.0769836547354132	0.216201540406227	-0.356073571866169	0.721785468457366	0.999901608208268	186	459	465	465	400	390	389	625	466	770	477	421	749	342	435	441	615	418	536	457	538	No	diaminopimelate epimerase [EC:5.1.1.7]	dapF	K01778	K01778
693.794617511347	-0.143575071396695	0.27271564504021	-0.52646437418552	0.598565598592861	0.999901608208268	355	568	575	923	962	435	437	1200	962	957	538	815	846	347	585	564	793	635	389	753	489	No	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	nagB, GNPDA	K02564	K02564
498.621347951562	0.0649871604112841	0.239526396185715	0.271315234755574	0.786148590131244	0.999901608208268	386	295	506	438	560	623	389	359	157	864	762	521	735	311	630	669	448	317	492	476	598	No	phosphoglucosamine mutase [EC:5.4.2.10]	glmM	K03431	K03431
412.066159462481	-0.0459938464859596	0.246013237397085	-0.18695679538464	0.851694507885451	0.999901608208268	201	362	300	378	401	417	288	539	323	717	431	296	734	271	327	454	504	352	396	409	414	No	aspartate--ammonia ligase [EC:6.3.1.1]	asnA	K01914	K01914
81.3387616775356	-0.244781584372368	0.579402133608502	-0.422472701037316	0.672680022421362	0.999901608208268	5	75	79	23	121	159	117	0	13	92	110	71	53	89	183	95	138	19	26	96	196	No	spore coat protein JB	cotJB	K06333	K06333
108.843809145789	-0.0114274934702018	0.443136080064415	-0.0257877748716391	0.979426612846805	0.999901608208268	18	100	276	54	148	264	149	10	36	106	153	89	96	104	173	103	102	42	45	86	212	No	spore coat protein JC	cotJC	K06334	K06334
178.930179560602	-0.490378206542127	0.607863625578047	-0.80672405109913	0.419825484262195	0.999901608208268	200	160	432	0	246	207	264	3	36	334	187	107	179	207	231	121	255	142	108	168	145	No	putative lysine transport system substrate-binding protein	lysX1	K17073	K17073
177.266479305334	-0.324778917179524	0.392177479040237	-0.82814270206016	0.407589688617413	0.999901608208268	168	145	341	14	278	217	261	51	71	246	193	102	121	177	241	120	385	124	160	176	98	No	putative lysine transport system permease protein	lysX2	K17074	K17074
1175.4310938111	0.174139090883574	0.205501968239293	0.847384053669019	0.396781089823249	0.999901608208268	1002	892	1754	1088	1572	1507	1051	960	679	1422	1423	1096	1617	449	746	1726	1251	781	1559	1012	1335	No	polar amino acid transport system permease protein	ABC.PA.P	K02029	K02029
66.8647813294278	0.523516688217808	0.582944731290347	0.898055441823798	0.369155992600393	0.999901608208268	52	50	69	51	55	124	49	7	7	84	75	14	130	57	0	214	75	35	127	38	132	No	aspartate/glutamate/glutamine transport system permease protein	peb1B, glnP, glnM	K10040	K10040
101.785389998655	-0.108421900701719	0.39495079009161	-0.274520024827829	0.783685016914668	0.999901608208268	99	86	160	27	149	158	151	48	49	169	101	70	68	65	155	57	234	53	134	84	29	No	putative lysine transport system ATP-binding protein	lysY	K17076	K17076
555.5102238566	0.13681584332801	0.228890273584395	0.597735505251009	0.550016430653227	0.999901608208268	526	550	743	495	543	557	348	440	428	670	640	362	770	391	457	808	754	472	410	414	631	No	cysteine synthase [EC:2.5.1.47]	cysK	K01738	K01738
425.105406903666	-0.190994474927346	0.187829290968952	-1.01685138639488	0.309224132510431	0.999901608208268	305	423	462	405	604	395	414	294	430	441	430	361	449	302	524	478	407	427	474	361	412	No	glutamate 5-kinase [EC:2.7.2.11]	proB	K00931	K00931
547.358011326908	-0.00530832566772013	0.204404767302411	-0.0259696764306217	0.979281524992922	0.999901608208268	337	392	592	632	671	575	511	665	797	929	552	449	584	306	583	539	469	402	482	513	464	No	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	proA	K00147	K00147
439.831742892284	-0.0641915085875548	0.203401147629915	-0.315590690296154	0.752313204891672	0.999901608208268	450	438	423	368	494	414	372	355	519	476	410	356	537	277	386	377	581	402	452	440	509	No	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proC	K00286	K00286
676.664492729306	-0.0268682192650649	0.230392516613204	-0.116619322797593	0.907161724829276	0.999901608208268	436	609	941	883	946	622	448	746	576	1081	691	470	1000	458	674	568	734	562	533	493	505	No	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	murD	K01925	K01925
738.718085581436	-0.00462785066391196	0.190241929200978	-0.0243261340092012	0.980592467371738	0.999901608208268	341	564	1350	809	854	800	542	674	608	1209	873	605	983	612	704	625	705	498	787	652	911	No	DNA ligase (NAD+) [EC:6.5.1.2]	E6.5.1.2, ligA, ligB	K01972	K01972
359.097975945249	-0.175047355232716	0.208805209606265	-0.838328485974062	0.401846241561962	0.999901608208268	177	408	434	497	429	323	274	358	330	582	336	421	436	202	266	412	354	277	334	311	365	No	transcription antitermination protein NusB	nusB	K03625	K03625
553.285108231214	-0.0791373403369692	0.224205172443503	-0.352968397091333	0.724112133043446	0.999901608208268	306	496	599	536	677	502	452	783	475	860	632	459	784	309	405	575	605	426	515	581	458	No	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	xseA	K03601	K03601
273.97420870235	0.12086067183428	0.237798400348382	0.508248464485948	0.611279106734349	0.999901608208268	224	284	311	239	150	292	219	323	210	261	313	286	325	137	263	327	359	229	315	303	251	No	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	xseB	K03602	K03602
407.868635824575	-0.00924176980917122	0.195639525235409	-0.0472387662873891	0.962322930965228	0.999901608208268	273	331	454	557	523	449	388	349	367	408	412	406	497	228	379	458	457	307	354	438	450	No	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	GGPS	K13789	K13789
958.566021845016	-0.0934931597203324	0.252369731134434	-0.37046106638886	0.7110389806958	0.999901608208268	378	982	999	1238	1534	889	709	1419	1012	1167	1088	553	1118	539	827	949	954	766	766	979	715	No	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	dxs	K01662	K01662
