baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R2W0	R30W7	R14W7	R14W0	R2W7	R30W0	R20W0	R4W7	R18W7	R12W0	R18W0	R12W7	R4W0	R20W6	R1W7	R17W0	R17W7	R1W0	R7W0	R29W0	R23W7	R11W7	R11W0	R7W7	R29W7	R23W0	Significant	tax[rownames(res), ]	Phylum	KO
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOVX6ZVY	NOVX6ZVY	NOVX6ZVY
0.911081203873035	2.0042200285397	2.96016371248568	0.67706391375791	0.498365403499813	0.921601248521495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0	46	0	No	NOVKMEC2	NOVKMEC2	NOVKMEC2
0.903229844453334	3.38858674386544	2.95670962476921	1.14606680192004	0.251767512607201	0.921601248521495	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	No	NOVDNGQ3	NOVDNGQ3	NOVDNGQ3
0	0	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	No	NOVP75FI	NOVP75FI	NOVP75FI
0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	NOV86T3H	NOV86T3H	NOV86T3H
5.6335402214382	5.03109614551528	1.90722346564789	2.63791644562542	0.00834171322554569	0.921601248521495	0	28	15	0	0	0	0	9	58	0	0	0	4	15	4	0	13	0	0	0	0	0	0	0	2	0	Yes	NOVGEOY0	NOVGEOY0	NOVGEOY0
0.707468394137835	1.49486250871953	2.96945075266822	0.503413807208728	0.614673366145981	0.921601248521495	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	29	0	0	0	0	0	0	0	0	0	No	NOVC80VS	NOVC80VS	NOVC80VS
6.39340306813495	1.95572851600642	1.82060629074908	1.07421825682133	0.282724871641879	0.921601248521495	0	0	8	0	8	0	6	0	0	0	0	8	8	15	0	3	14	0	0	0	0	3	14	0	54	0	No	NOVFX35N	NOVFX35N	NOVFX35N
6.2773908004913	2.76123450338835	2.31884913493155	1.19077798628321	0.233740753074761	0.921601248521495	0	0	15	0	9	0	0	14	0	0	0	0	16	13	0	0	14	0	0	0	0	0	0	0	54	0	No	NOVECVLF	NOVECVLF	NOVECVLF
8.24613961907318	1.07372969038378	2.2311394916291	0.481247225649609	0.630340800098721	0.921601248521495	0	0	15	0	8	0	0	10	0	0	0	0	24	22	0	0	14	0	0	0	0	0	43	0	54	0	No	NOVUI4XJ	NOVUI4XJ	NOVUI4XJ
