KEGG_pathway	Description	R12W8	R2W0	R16W24	543-46G1	R30W7	R2W1	R16W0	R8W7	R14W4	R14W7	R11W24	R30W4	R20W24	R24W1	R20W8	R14W0	R18W24	R4W8	R2W24X	R12W24	R24W7	R14W1	R23W24	R29W24	R2W24Y	R2W4	R2W7	0505-0101	R30W1	R30W0	R16W7	R24W4	R24W24	R8W0	R26W0	R18W8	R10W7	R20W0	R14W24	R4W7	R18W4	R24W8	R20W1	R6W0	R12W1	R18W7	R4W4	R2W8	R12W0	R19W24	R21W24	R6W7	R30W8	R18W0	R20W4	R12W7	R22W0	R10W24	R18W1	R10W0	R4W1	R12W4	R4W0	R14W8	R17W24	R20W6	R25W0	R8W24	R1W7	R17W1	R3W0	R9W7	R1W5	R29W8	R17W0	R7W8	R30W24	R23W8	R3W7	R9W0	R6W24	R27W0	R17W7	R17W4	585-57G1	R1W1	R1W24	R11W8	R1W0	R19W7	R7W0	R17W8	R29W0	R23W7	R11W4	R29W1	R13W0	R7W1	R21W0	R7W24	R23W4	R11W7	R29W5	R21W7	R4W24	R1W8	R11W0	R7W4	R5W0	R11W1	R19W0	R3W24	R23W1	R9W24	R7W7	R29W7	R23W0
ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]	0.5700934579439252	0.5700934579439252	0.5981308411214953	0.45794392523364486	0.48598130841121495	0.5420560747663551	0.514018691588785	0.4392523364485981	0.4953271028037383	0.5607476635514018	0.4485981308411215	0.5327102803738317	0.5887850467289719	0.4672897196261682	0.5700934579439252	0.5420560747663551	0.5514018691588785	0.5607476635514018	0.5420560747663551	0.4392523364485981	0.4485981308411215	0.5514018691588785	0.4953271028037383	0.5233644859813084	0.5514018691588785	0.5233644859813084	0.5327102803738317	0.6074766355140186	0.45794392523364486	0.5420560747663551	0.514018691588785	0.48598130841121495	0.4953271028037383	0.4205607476635514	0.42990654205607476	0.6728971962616822	0.5327102803738317	0.5700934579439252	0.6074766355140186	0.5700934579439252	0.5607476635514018	0.48598130841121495	0.5046728971962616	0.5981308411214953	0.514018691588785	0.616822429906542	0.5420560747663551	0.5046728971962616	0.45794392523364486	0.5514018691588785	0.5794392523364486	0.5981308411214953	0.5327102803738317	0.6074766355140186	0.5607476635514018	0.48598130841121495	0.5420560747663551	0.4485981308411215	0.6074766355140186	0.4766355140186916	0.5607476635514018	0.5514018691588785	0.5420560747663551	0.4392523364485981	0.5607476635514018	0.616822429906542	0.4766355140186916	0.4672897196261682	0.5514018691588785	0.5981308411214953	0.6355140186915887	0.45794392523364486	0.5607476635514018	0.5420560747663551	0.5327102803738317	0.5700934579439252	0.4766355140186916	0.616822429906542	0.5981308411214953	0.5700934579439252	0.514018691588785	0.4672897196261682	0.5700934579439252	0.5420560747663551	0.5046728971962616	0.5794392523364486	0.5233644859813084	0.5794392523364486	0.5420560747663551	0.616822429906542	0.5514018691588785	0.5233644859813084	0.5420560747663551	0.5794392523364486	0.5420560747663551	0.5233644859813084	0.5233644859813084	0.5420560747663551	0.4766355140186916	0.5887850467289719	0.6261682242990654	0.6261682242990654	0.6074766355140186	0.514018691588785	0.5700934579439252	0.5233644859813084	0.5981308411214953	0.5420560747663551	0.5514018691588785	0.5887850467289719	0.5514018691588785	0.5514018691588785	0.616822429906542	0.5700934579439252	0.5514018691588785	0.5981308411214953	0.6542056074766355
ko00020	Citrate cycle (TCA cycle) [PATH:ko00020]	0.6031746031746031	0.5396825396825397	0.6190476190476191	0.49206349206349204	0.49206349206349204	0.5714285714285714	0.5238095238095238	0.47619047619047616	0.5396825396825397	0.5873015873015873	0.42857142857142855	0.5079365079365079	0.6031746031746031	0.47619047619047616	0.5396825396825397	0.5396825396825397	0.6031746031746031	0.5873015873015873	0.49206349206349204	0.47619047619047616	0.47619047619047616	0.5396825396825397	0.5238095238095238	0.5714285714285714	0.5873015873015873	0.5714285714285714	0.5555555555555556	0.5714285714285714	0.5079365079365079	0.5396825396825397	0.5396825396825397	0.5238095238095238	0.5873015873015873	0.47619047619047616	0.42857142857142855	0.6666666666666666	0.5873015873015873	0.5396825396825397	0.6349206349206349	0.6349206349206349	0.5873015873015873	0.5396825396825397	0.5079365079365079	0.6190476190476191	0.5396825396825397	0.6031746031746031	0.5555555555555556	0.5396825396825397	0.47619047619047616	0.5396825396825397	0.6031746031746031	0.6031746031746031	0.5714285714285714	0.6507936507936508	0.5396825396825397	0.47619047619047616	0.5714285714285714	0.4603174603174603	0.6349206349206349	0.5714285714285714	0.5396825396825397	0.5873015873015873	0.5873015873015873	0.47619047619047616	0.5714285714285714	0.5555555555555556	0.5079365079365079	0.5396825396825397	0.5238095238095238	0.5873015873015873	0.6507936507936508	0.5396825396825397	0.5714285714285714	0.5396825396825397	0.5714285714285714	0.5555555555555556	0.5079365079365079	0.6190476190476191	0.6666666666666666	0.5873015873015873	0.5714285714285714	0.5079365079365079	0.5555555555555556	0.6031746031746031	0.6031746031746031	0.5396825396825397	0.5396825396825397	0.5714285714285714	0.5555555555555556	0.6666666666666666	0.5873015873015873	0.5873015873015873	0.5555555555555556	0.5714285714285714	0.5873015873015873	0.5555555555555556	0.5555555555555556	0.5714285714285714	0.5555555555555556	0.5714285714285714	0.6190476190476191	0.6666666666666666	0.6190476190476191	0.5873015873015873	0.6031746031746031	0.5238095238095238	0.6349206349206349	0.5714285714285714	0.5555555555555556	0.5873015873015873	0.5714285714285714	0.5714285714285714	0.6031746031746031	0.5714285714285714	0.5396825396825397	0.5873015873015873	0.6507936507936508
ko00030	Pentose phosphate pathway [PATH:ko00030]	0.4588235294117647	0.43529411764705883	0.4823529411764706	0.3764705882352941	0.36470588235294116	0.38823529411764707	0.4117647058823529	0.32941176470588235	0.36470588235294116	0.4470588235294118	0.36470588235294116	0.4470588235294118	0.49411764705882355	0.3411764705882353	0.4588235294117647	0.4117647058823529	0.4235294117647059	0.49411764705882355	0.4823529411764706	0.32941176470588235	0.29411764705882354	0.4470588235294118	0.4	0.4117647058823529	0.49411764705882355	0.4470588235294118	0.43529411764705883	0.4823529411764706	0.35294117647058826	0.4117647058823529	0.4	0.36470588235294116	0.3764705882352941	0.29411764705882354	0.36470588235294116	0.6470588235294118	0.4235294117647059	0.47058823529411764	0.5176470588235295	0.5294117647058824	0.4588235294117647	0.38823529411764707	0.4470588235294118	0.5294117647058824	0.4	0.47058823529411764	0.4	0.3764705882352941	0.38823529411764707	0.4588235294117647	0.47058823529411764	0.5411764705882353	0.4470588235294118	0.4470588235294118	0.4823529411764706	0.4	0.4588235294117647	0.35294117647058826	0.4823529411764706	0.3411764705882353	0.43529411764705883	0.4235294117647059	0.4588235294117647	0.38823529411764707	0.4235294117647059	0.47058823529411764	0.36470588235294116	0.36470588235294116	0.4117647058823529	0.47058823529411764	0.5176470588235295	0.3764705882352941	0.43529411764705883	0.4470588235294118	0.38823529411764707	0.4470588235294118	0.32941176470588235	0.4823529411764706	0.5176470588235295	0.4470588235294118	0.4	0.35294117647058826	0.47058823529411764	0.4588235294117647	0.4	0.4470588235294118	0.4588235294117647	0.4470588235294118	0.4823529411764706	0.5411764705882353	0.47058823529411764	0.4117647058823529	0.4	0.4588235294117647	0.4	0.4	0.4470588235294118	0.43529411764705883	0.3176470588235294	0.4470588235294118	0.5058823529411764	0.49411764705882355	0.4588235294117647	0.4	0.4588235294117647	0.4235294117647059	0.47058823529411764	0.4470588235294118	0.4235294117647059	0.43529411764705883	0.4235294117647059	0.4470588235294118	0.5058823529411764	0.5058823529411764	0.4470588235294118	0.4470588235294118	0.5058823529411764
ko00040	Pentose and glucuronate interconversions [PATH:ko00040]	0.5529411764705883	0.4235294117647059	0.5058823529411764	0.4117647058823529	0.49411764705882355	0.4823529411764706	0.4823529411764706	0.36470588235294116	0.38823529411764707	0.5529411764705883	0.38823529411764707	0.4588235294117647	0.5411764705882353	0.4235294117647059	0.49411764705882355	0.49411764705882355	0.5294117647058824	0.5294117647058824	0.43529411764705883	0.3764705882352941	0.4	0.43529411764705883	0.47058823529411764	0.49411764705882355	0.4823529411764706	0.43529411764705883	0.47058823529411764	0.4823529411764706	0.4117647058823529	0.4470588235294118	0.49411764705882355	0.47058823529411764	0.4588235294117647	0.38823529411764707	0.3764705882352941	0.5294117647058824	0.4235294117647059	0.49411764705882355	0.5411764705882353	0.5411764705882353	0.47058823529411764	0.4588235294117647	0.4470588235294118	0.5294117647058824	0.4117647058823529	0.5411764705882353	0.49411764705882355	0.49411764705882355	0.38823529411764707	0.4823529411764706	0.5294117647058824	0.49411764705882355	0.4823529411764706	0.5176470588235295	0.47058823529411764	0.43529411764705883	0.4588235294117647	0.38823529411764707	0.5882352941176471	0.43529411764705883	0.4823529411764706	0.47058823529411764	0.5058823529411764	0.3764705882352941	0.5411764705882353	0.5176470588235295	0.4	0.4588235294117647	0.4588235294117647	0.5176470588235295	0.5529411764705883	0.43529411764705883	0.5294117647058824	0.4235294117647059	0.49411764705882355	0.47058823529411764	0.4	0.5176470588235295	0.49411764705882355	0.5294117647058824	0.4470588235294118	0.4235294117647059	0.49411764705882355	0.5764705882352941	0.43529411764705883	0.4470588235294118	0.47058823529411764	0.4823529411764706	0.4470588235294118	0.5058823529411764	0.4823529411764706	0.5058823529411764	0.4588235294117647	0.5058823529411764	0.5176470588235295	0.43529411764705883	0.47058823529411764	0.49411764705882355	0.4117647058823529	0.5058823529411764	0.5411764705882353	0.5058823529411764	0.5764705882352941	0.4588235294117647	0.5294117647058824	0.49411764705882355	0.5176470588235295	0.4823529411764706	0.5058823529411764	0.47058823529411764	0.4470588235294118	0.5058823529411764	0.5176470588235295	0.49411764705882355	0.47058823529411764	0.5294117647058824	0.5058823529411764
ko00051	Fructose and mannose metabolism [PATH:ko00051]	0.5315315315315315	0.5135135135135135	0.5405405405405406	0.43243243243243246	0.3783783783783784	0.44144144144144143	0.5135135135135135	0.4144144144144144	0.36936936936936937	0.5405405405405406	0.36036036036036034	0.4864864864864865	0.5135135135135135	0.45045045045045046	0.4864864864864865	0.42342342342342343	0.5315315315315315	0.4954954954954955	0.4864864864864865	0.40540540540540543	0.40540540540540543	0.46846846846846846	0.4594594594594595	0.45045045045045046	0.5675675675675675	0.4594594594594595	0.4774774774774775	0.5315315315315315	0.42342342342342343	0.4954954954954955	0.4954954954954955	0.45045045045045046	0.4594594594594595	0.3783783783783784	0.3963963963963964	0.6126126126126126	0.46846846846846846	0.5315315315315315	0.5945945945945946	0.5495495495495496	0.5225225225225225	0.4144144144144144	0.4774774774774775	0.5765765765765766	0.4774774774774775	0.5585585585585585	0.5045045045045045	0.44144144144144143	0.43243243243243246	0.4864864864864865	0.5225225225225225	0.5675675675675675	0.4864864864864865	0.5585585585585585	0.4594594594594595	0.4864864864864865	0.45045045045045046	0.38738738738738737	0.5855855855855856	0.4594594594594595	0.4954954954954955	0.5225225225225225	0.5045045045045045	0.38738738738738737	0.4954954954954955	0.5045045045045045	0.43243243243243246	0.40540540540540543	0.36936936936936937	0.5585585585585585	0.5945945945945946	0.4144144144144144	0.4954954954954955	0.45045045045045046	0.5045045045045045	0.46846846846846846	0.43243243243243246	0.5405405405405406	0.6036036036036037	0.46846846846846846	0.46846846846846846	0.4864864864864865	0.5405405405405406	0.5045045045045045	0.46846846846846846	0.42342342342342343	0.42342342342342343	0.5045045045045045	0.45045045045045046	0.5945945945945946	0.4774774774774775	0.5135135135135135	0.4144144144144144	0.5315315315315315	0.43243243243243246	0.43243243243243246	0.4144144144144144	0.4864864864864865	0.4594594594594595	0.5135135135135135	0.5225225225225225	0.5765765765765766	0.4864864864864865	0.4774774774774775	0.5045045045045045	0.42342342342342343	0.5765765765765766	0.4774774774774775	0.4954954954954955	0.4144144144144144	0.5225225225225225	0.5585585585585585	0.5405405405405406	0.45045045045045046	0.4864864864864865	0.5405405405405406	0.5135135135135135
ko00052	Galactose metabolism [PATH:ko00052]	0.5	0.5256410256410257	0.5897435897435898	0.3333333333333333	0.34615384615384615	0.46153846153846156	0.4230769230769231	0.3974358974358974	0.358974358974359	0.5128205128205128	0.34615384615384615	0.38461538461538464	0.5	0.41025641025641024	0.48717948717948717	0.4230769230769231	0.5128205128205128	0.5256410256410257	0.4358974358974359	0.3717948717948718	0.3076923076923077	0.44871794871794873	0.46153846153846156	0.46153846153846156	0.5769230769230769	0.5128205128205128	0.47435897435897434	0.5256410256410257	0.38461538461538464	0.4230769230769231	0.48717948717948717	0.4230769230769231	0.3717948717948718	0.3974358974358974	0.4358974358974359	0.6282051282051282	0.4358974358974359	0.5256410256410257	0.5769230769230769	0.5128205128205128	0.5	0.3333333333333333	0.44871794871794873	0.5512820512820513	0.47435897435897434	0.5897435897435898	0.47435897435897434	0.47435897435897434	0.4230769230769231	0.48717948717948717	0.5256410256410257	0.5256410256410257	0.41025641025641024	0.5897435897435898	0.47435897435897434	0.47435897435897434	0.5	0.358974358974359	0.6025641025641025	0.3717948717948718	0.47435897435897434	0.48717948717948717	0.48717948717948717	0.34615384615384615	0.5	0.47435897435897434	0.358974358974359	0.3717948717948718	0.44871794871794873	0.5769230769230769	0.6153846153846154	0.3333333333333333	0.48717948717948717	0.3974358974358974	0.48717948717948717	0.47435897435897434	0.4358974358974359	0.5128205128205128	0.5769230769230769	0.46153846153846156	0.5256410256410257	0.3974358974358974	0.5256410256410257	0.5128205128205128	0.46153846153846156	0.4358974358974359	0.4358974358974359	0.47435897435897434	0.4358974358974359	0.5384615384615384	0.4358974358974359	0.46153846153846156	0.3974358974358974	0.5256410256410257	0.4358974358974359	0.41025641025641024	0.47435897435897434	0.46153846153846156	0.46153846153846156	0.5128205128205128	0.5641025641025641	0.5641025641025641	0.47435897435897434	0.48717948717948717	0.48717948717948717	0.4358974358974359	0.5769230769230769	0.5	0.5256410256410257	0.48717948717948717	0.46153846153846156	0.5512820512820513	0.5641025641025641	0.46153846153846156	0.44871794871794873	0.47435897435897434	0.5384615384615384
ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]	0.3548387096774194	0.25806451612903225	0.3064516129032258	0.22580645161290322	0.22580645161290322	0.3225806451612903	0.3387096774193548	0.1774193548387097	0.27419354838709675	0.3387096774193548	0.25806451612903225	0.24193548387096775	0.3387096774193548	0.20967741935483872	0.3548387096774194	0.27419354838709675	0.3548387096774194	0.3225806451612903	0.3064516129032258	0.22580645161290322	0.27419354838709675	0.24193548387096775	0.3064516129032258	0.3064516129032258	0.3387096774193548	0.25806451612903225	0.27419354838709675	0.3387096774193548	0.1935483870967742	0.25806451612903225	0.3225806451612903	0.2903225806451613	0.25806451612903225	0.20967741935483872	0.16129032258064516	0.3225806451612903	0.3064516129032258	0.3387096774193548	0.3548387096774194	0.3387096774193548	0.2903225806451613	0.24193548387096775	0.27419354838709675	0.3709677419354839	0.22580645161290322	0.3387096774193548	0.25806451612903225	0.2903225806451613	0.22580645161290322	0.25806451612903225	0.2903225806451613	0.3709677419354839	0.2903225806451613	0.3225806451612903	0.27419354838709675	0.1935483870967742	0.27419354838709675	0.14516129032258066	0.3387096774193548	0.24193548387096775	0.25806451612903225	0.25806451612903225	0.3225806451612903	0.1935483870967742	0.3225806451612903	0.3387096774193548	0.24193548387096775	0.22580645161290322	0.2903225806451613	0.3709677419354839	0.3387096774193548	0.27419354838709675	0.3225806451612903	0.22580645161290322	0.2903225806451613	0.3064516129032258	0.20967741935483872	0.3387096774193548	0.3225806451612903	0.3064516129032258	0.25806451612903225	0.3064516129032258	0.3064516129032258	0.3870967741935484	0.25806451612903225	0.2903225806451613	0.27419354838709675	0.27419354838709675	0.3225806451612903	0.3225806451612903	0.27419354838709675	0.3548387096774194	0.24193548387096775	0.3225806451612903	0.27419354838709675	0.25806451612903225	0.24193548387096775	0.27419354838709675	0.20967741935483872	0.3225806451612903	0.3548387096774194	0.3387096774193548	0.3387096774193548	0.25806451612903225	0.3225806451612903	0.2903225806451613	0.3064516129032258	0.27419354838709675	0.25806451612903225	0.24193548387096775	0.24193548387096775	0.3225806451612903	0.3387096774193548	0.2903225806451613	0.3387096774193548	0.3548387096774194	0.3064516129032258
ko00500	Starch and sucrose metabolism [PATH:ko00500]	0.5471698113207547	0.6037735849056604	0.5660377358490566	0.4716981132075472	0.49056603773584906	0.5660377358490566	0.5188679245283019	0.4528301886792453	0.46226415094339623	0.6132075471698113	0.4716981132075472	0.5660377358490566	0.6037735849056604	0.5094339622641509	0.5660377358490566	0.5566037735849056	0.5471698113207547	0.6037735849056604	0.5849056603773585	0.4528301886792453	0.4716981132075472	0.5471698113207547	0.5754716981132075	0.5849056603773585	0.5849056603773585	0.5754716981132075	0.5849056603773585	0.5566037735849056	0.5566037735849056	0.5377358490566038	0.5377358490566038	0.5188679245283019	0.5283018867924528	0.4716981132075472	0.5094339622641509	0.6509433962264151	0.5471698113207547	0.5471698113207547	0.5943396226415094	0.6226415094339622	0.5660377358490566	0.5188679245283019	0.5471698113207547	0.5849056603773585	0.5471698113207547	0.5943396226415094	0.5566037735849056	0.5849056603773585	0.5094339622641509	0.5566037735849056	0.5754716981132075	0.5660377358490566	0.5660377358490566	0.6037735849056604	0.5943396226415094	0.5094339622641509	0.5849056603773585	0.4528301886792453	0.5849056603773585	0.5377358490566038	0.6037735849056604	0.5566037735849056	0.5849056603773585	0.42452830188679247	0.5754716981132075	0.6037735849056604	0.5094339622641509	0.5	0.5377358490566038	0.5849056603773585	0.6320754716981132	0.46226415094339623	0.5754716981132075	0.5283018867924528	0.5566037735849056	0.5660377358490566	0.5471698113207547	0.5849056603773585	0.5849056603773585	0.5566037735849056	0.5566037735849056	0.5094339622641509	0.5754716981132075	0.5660377358490566	0.5471698113207547	0.5566037735849056	0.5377358490566038	0.49056603773584906	0.5283018867924528	0.5943396226415094	0.5849056603773585	0.5660377358490566	0.5566037735849056	0.6132075471698113	0.5094339622641509	0.5471698113207547	0.5377358490566038	0.6132075471698113	0.49056603773584906	0.6037735849056604	0.5943396226415094	0.5660377358490566	0.6037735849056604	0.5094339622641509	0.6226415094339622	0.5754716981132075	0.5566037735849056	0.6037735849056604	0.5754716981132075	0.5566037735849056	0.5754716981132075	0.5377358490566038	0.5943396226415094	0.5566037735849056	0.5188679245283019	0.5943396226415094	0.5943396226415094
ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	0.6025641025641025	0.4807692307692308	0.5128205128205128	0.5	0.4358974358974359	0.5384615384615384	0.5	0.4230769230769231	0.4423076923076923	0.5576923076923077	0.40384615384615385	0.5	0.5128205128205128	0.5128205128205128	0.5384615384615384	0.5128205128205128	0.5384615384615384	0.5641025641025641	0.4807692307692308	0.3717948717948718	0.46794871794871795	0.5128205128205128	0.5192307692307693	0.5384615384615384	0.5576923076923077	0.5064102564102564	0.5256410256410257	0.5192307692307693	0.4423076923076923	0.4551282051282051	0.4935897435897436	0.5064102564102564	0.4935897435897436	0.4230769230769231	0.3974358974358974	0.6025641025641025	0.532051282051282	0.5641025641025641	0.5897435897435898	0.5576923076923077	0.5384615384615384	0.42948717948717946	0.5576923076923077	0.532051282051282	0.4935897435897436	0.5897435897435898	0.532051282051282	0.5064102564102564	0.4166666666666667	0.48717948717948717	0.5641025641025641	0.5192307692307693	0.5256410256410257	0.5512820512820513	0.5641025641025641	0.4807692307692308	0.5384615384615384	0.3974358974358974	0.5897435897435898	0.47435897435897434	0.5576923076923077	0.5512820512820513	0.5769230769230769	0.4358974358974359	0.5897435897435898	0.5641025641025641	0.46153846153846156	0.5	0.4551282051282051	0.5833333333333334	0.6025641025641025	0.4230769230769231	0.5512820512820513	0.5576923076923077	0.5512820512820513	0.532051282051282	0.4935897435897436	0.5833333333333334	0.5576923076923077	0.5192307692307693	0.4935897435897436	0.44871794871794873	0.5512820512820513	0.5705128205128205	0.5384615384615384	0.46153846153846156	0.5256410256410257	0.48717948717948717	0.5128205128205128	0.5641025641025641	0.5448717948717948	0.5833333333333334	0.5705128205128205	0.5641025641025641	0.46153846153846156	0.5064102564102564	0.4166666666666667	0.5512820512820513	0.47435897435897434	0.5641025641025641	0.5897435897435898	0.5384615384615384	0.5833333333333334	0.5448717948717948	0.5769230769230769	0.5064102564102564	0.5512820512820513	0.5705128205128205	0.5256410256410257	0.5192307692307693	0.532051282051282	0.5	0.5833333333333334	0.5448717948717948	0.47435897435897434	0.5961538461538461	0.5384615384615384
ko00620	Pyruvate metabolism [PATH:ko00620]	0.5590551181102362	0.5590551181102362	0.6220472440944882	0.4645669291338583	0.4330708661417323	0.5275590551181102	0.5039370078740157	0.3700787401574803	0.47244094488188976	0.5905511811023622	0.4566929133858268	0.5039370078740157	0.5826771653543307	0.4251968503937008	0.5196850393700787	0.48031496062992124	0.5433070866141733	0.5590551181102362	0.5275590551181102	0.3937007874015748	0.4330708661417323	0.49606299212598426	0.5039370078740157	0.5118110236220472	0.5905511811023622	0.5511811023622047	0.5275590551181102	0.5984251968503937	0.41732283464566927	0.48031496062992124	0.5275590551181102	0.4645669291338583	0.4881889763779528	0.4015748031496063	0.4330708661417323	0.6850393700787402	0.5275590551181102	0.5511811023622047	0.6299212598425197	0.5669291338582677	0.5433070866141733	0.4409448818897638	0.4881889763779528	0.6141732283464567	0.4645669291338583	0.6377952755905512	0.5196850393700787	0.5118110236220472	0.41732283464566927	0.47244094488188976	0.5354330708661418	0.6299212598425197	0.5039370078740157	0.6220472440944882	0.5118110236220472	0.4251968503937008	0.5196850393700787	0.3937007874015748	0.6220472440944882	0.49606299212598426	0.5275590551181102	0.5354330708661418	0.5433070866141733	0.4409448818897638	0.49606299212598426	0.5590551181102362	0.4566929133858268	0.4409448818897638	0.5196850393700787	0.5354330708661418	0.6771653543307087	0.44881889763779526	0.5039370078740157	0.5039370078740157	0.5039370078740157	0.5433070866141733	0.4566929133858268	0.6141732283464567	0.6377952755905512	0.5590551181102362	0.5196850393700787	0.4566929133858268	0.5118110236220472	0.5275590551181102	0.5354330708661418	0.5669291338582677	0.5354330708661418	0.5748031496062992	0.5354330708661418	0.6062992125984252	0.5433070866141733	0.5196850393700787	0.5196850393700787	0.5826771653543307	0.5748031496062992	0.5039370078740157	0.5118110236220472	0.5196850393700787	0.49606299212598426	0.5511811023622047	0.5984251968503937	0.6771653543307087	0.5984251968503937	0.5118110236220472	0.5590551181102362	0.5275590551181102	0.6220472440944882	0.5118110236220472	0.5039370078740157	0.5669291338582677	0.5511811023622047	0.6141732283464567	0.6062992125984252	0.5354330708661418	0.5275590551181102	0.5984251968503937	0.6299212598425197
