KEGG_ko	Description	Symbol	0505-0101	R1W5
K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	ispD	340.3525587411841	164.568272047501
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]	GPI, pgi	399.7397285734246	326.3315479013473
K03470	ribonuclease HII [EC:3.1.26.4]	rnhB	498.45847349703155	285.1516492145403
K03471	ribonuclease HIII [EC:3.1.26.4]	rnhC	145.37506230825673	12.84207737535923
K06019	pyrophosphatase PpaX [EC:3.6.1.1]	ppaX	525.5876116035606	29.296467297228208
K07456	DNA mismatch repair protein MutS2	mutS2	481.9979488977447	362.14600753952664
K03703	excinuclease ABC subunit C	uvrC	457.423283335033	374.5754612090364
K02520	translation initiation factor IF-3	infC, MTIF3	301.11366178588156	219.03278494782583
K02887	large subunit ribosomal protein L20	RP-L20, MRPL20, rplT	318.93407203184194	232.25485568597273
K01990	ABC-2 type transport system ATP-binding protein	ABC-2.A	1805.9081242228408	1596.7684376033767
K07496	putative transposase	K07496	582.3179234213778	119.97230558816469
K06158	ATP-binding cassette, subfamily F, member 3	ABCF3	547.9548511423644	520.7888365602505
K00756	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	pdp	232.22257283129517	449.2759836164311
K01193	beta-fructofuranosidase [EC:3.2.1.26]	INV, sacA	280.8113519810096	297.2245770402008
K02902	large subunit ribosomal protein L28	RP-L28, MRPL28, rpmB	277.76354042853177	160.85724462701026
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	rpe, RPE	339.6618961902666	317.3792410677299
K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	rsgA, engC	289.6057793360862	290.4568191028434
K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	prkC, stkP	697.8213118145834	601.8271091847082
K20074	PPM family protein phosphatase [EC:3.1.3.16]	prpC, phpP	362.49255660642444	283.2920442391915
K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	rlmN	385.7123551289359	316.35814181351446
K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	rsmB, sun	308.6266192974662	243.57986740851993
K17073	putative lysine transport system substrate-binding protein	lysX1	267.3076165288966	72.96988923452699
K17074	putative lysine transport system permease protein	lysX2	270.97907988854	68.14973340198914
K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	ABC.PA.A	680.3590780291977	766.9832324003676
K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	dxs	529.6446340605419	461.3888337008526
K05844	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	rimK	145.37506230825673	4.461570225977974
K14940	gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]	cofF	145.37506230825673	4.461570225977974
K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	gph	522.217120602152	644.1167759464445
K00942	guanylate kinase [EC:2.7.4.8]	gmk, GUK1	493.8670096399704	303.12884562793687
K00703	starch synthase [EC:2.4.1.21]	glgA	352.03911801966956	381.621899117784
K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16]	CARS, cysS	505.74533999177737	389.27182670116207
K01142	exodeoxyribonuclease III [EC:3.1.11.2]	E3.1.11.2, xthA	308.2576548358385	434.48573124308217
K02529	LacI family transcriptional regulator	lacI, galR	1143.1317255659756	954.0484419754634
K03487	LacI family transcriptional regulator, asc operon repressor	ascG	186.90051164538718	16.21816418302674
K09748	ribosome maturation factor RimP	rimP	316.96636213857437	266.2229070884245
K02600	transcription termination/antitermination protein NusA	nusA	410.1615674149403	334.3799817674684
K02519	translation initiation factor IF-2	infB, MTIF2	687.6261655535938	479.5602892805938
K02834	ribosome-binding factor A	rbfA	345.0692017246048	304.3780495098798
K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]	truB, PUS4, TRUB1	351.3178454467648	305.79614112275306
K03427	type I restriction enzyme M protein [EC:2.1.1.72]	hsdM	747.8667824969364	459.89920957060156
K07478	putative ATPase	ycaJ	413.5710029962672	316.25879127077656
K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	dtd, DTD	353.6046543713392	245.25119686889298
K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	mnmA, trmU	469.7764632178099	728.2624360472302
K01181	endo-1,4-beta-xylanase [EC:3.2.1.8]	E3.2.1.8, xynA	908.655344063928	303.241994515949
K02027	multiple sugar transport system substrate-binding protein	ABC.MS.S	2206.4433595431933	1078.1389145303024
K17315	glucose/mannose transport system substrate-binding protein	gtsA, glcE	792.9848190398004	0
K17318	putative aldouronate transport system substrate-binding protein	lplA	904.7464335771466	425.86778150323835
K08884	serine/threonine protein kinase, bacterial [EC:2.7.11.1]	K08884	417.782537610333	121.78655350644256
K14441	ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]	rimO	323.7865343268656	338.9698865445922
K18889	ATP-binding cassette, subfamily B, multidrug efflux pump	mdlA, smdA	450.75316708412896	294.5295155190095
K18890	ATP-binding cassette, subfamily B, multidrug efflux pump	mdlB, smdB	198.1720992974917	215.02345637935198
K02355	elongation factor G	fusA, GFM, EFG	840.3117622297401	769.6147752768088
K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	pncB, NAPRT1	354.02530418492694	274.9990283219055
K03705	heat-inducible transcriptional repressor	hrcA	330.64627035440185	319.6388563776352
K03687	molecular chaperone GrpE	GRPE	320.77087531026024	301.1836323866533
K04043	molecular chaperone DnaK	dnaK, HSPA9	608.3025122634224	607.7536917428752
K03686	molecular chaperone DnaJ	dnaJ	532.953043390021	708.0633238144632
K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	MTFMT, fmt	381.09054853327075	301.96643882931363
K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]	PPIB, ppiB	500.12612116895957	473.15137852730146
K02340	DNA polymerase III subunit delta [EC:2.7.7.7]	holA	354.0243830432809	320.75161899123947
K02040	phosphate transport system substrate-binding protein	pstS	444.37800790673185	565.4202095809458
K02037	phosphate transport system permease protein	pstC	379.84576245372915	430.3355442054968
K02038	phosphate transport system permease protein	pstA	413.0424424468814	416.30827761804943
K02036	phosphate transport system ATP-binding protein [EC:7.3.2.1]	pstB	356.297891626254	396.56962529403484
K02039	phosphate transport system protein	phoU	342.98210402102075	354.7258262445992
K07658	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	phoB1, phoP	309.69116015125917	312.63776557832614
K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	vicK	168.6843759373891	51.68661767355716
K03976	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]	ybaK, ebsC	346.2602090845044	288.33081624110724
K12574	ribonuclease J [EC:3.1.-.-]	rnj	568.8183101727716	436.583534979647
K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	deoC, DERA	352.9937793437591	296.99262961208757
K02968	small subunit ribosomal protein S20	RP-S20, rpsT	338.5674388778894	282.86366687549327
K02074	zinc/manganese transport system ATP-binding protein	ABC.ZM.A	189.0852723729526	7.005544851536713
K09817	zinc transport system ATP-binding protein [EC:7.2.2.20]	znuC	326.5314395022152	105.95744369782058
K02003	putative ABC transport system ATP-binding protein	ABC.CD.A	2813.4627000124087	2157.2629502167865
K02004	putative ABC transport system permease protein	ABC.CD.P	3669.9698054537453	3123.2400347402936
K17686	P-type Cu+ transporter [EC:7.2.2.8]	copA, ctpA, ATP7	490.11412917351754	454.7198096284097
K21600	CsoR family transcriptional regulator, copper-sensing transcriptional repressor	csoR, ricR	307.5637935120481	212.27825404515036
K06131	cardiolipin synthase A/B [EC:2.7.8.-]	clsA_B	497.8628982421834	614.7411393648971
K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	nrnA	675.2158030497509	313.29723532595085
K12952	cation-transporting P-type ATPase E [EC:7.2.2.-]	ctpE	386.8021530298997	81.76676778475264
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	idnO	481.82277994336295	580.4312418089933
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	fabG, OAR1	700.8297813835891	676.1744939720013
K10112	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	msmX, msmK, malK, sugC, ggtA, msiK	821.6770761504589	378.8797275708256
K01176	alpha-amylase [EC:3.2.1.1]	AMY, amyA, malS	567.0423997010633	246.20198776735361
K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	ganQ, mdxG	169.17190743101318	59.04097707012234
K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	ganP, mdxF	354.9600160090514	59.3186148009781
K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	cycB, ganO, mdxE	173.96275201439386	94.74633703403929
K01208	cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase [EC:3.2.1.54 3.2.1.133 3.2.1.135]	cd, ma, nplT	429.34327878261865	542.630803382875
K01200	pullulanase [EC:3.2.1.41]	pulA	363.3032454192705	254.73919190001072
K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]	nagZ	272.3859947331668	150.96477382961982
K05349	beta-glucosidase [EC:3.2.1.21]	bglX	2763.2463000218813	1243.5275996664325
K03744	LemA protein	lemA	225.70201052507383	67.63672279101336
K03499	trk/ktr system potassium uptake protein	trkA, ktrA, ktrC	800.6670016198614	1068.6926471777922
K04068	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]	nrdG	530.9409869928884	392.7191886689096
K21636	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	nrdD	732.8614786673777	636.3647904818467
K00891	shikimate kinase [EC:2.7.1.71]	aroK, aroL	306.7762365969707	164.4969223555419
K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	mod	531.8979103654777	85.65386294101263
K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	gmuG	176.48845831616225	63.04746008831843
K02042	phosphonate transport system permease protein	phnE	317.11879307722154	15.322722964062606
K02041	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	phnC	160.61417606281623	11.316270542370985
K02044	phosphonate transport system substrate-binding protein	phnD	152.3831014365011	22.88735352181
K16052	MscS family membrane protein	ynaI, mscMJ	213.01687894264413	172.91142538655942
K18707	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]	mtaB	318.5085114583368	274.14493435998605
K07464	CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]	cas4	384.68611952306895	276.25521785305926
K10844	DNA excision repair protein ERCC-2 [EC:5.6.2.3]	ERCC2, XPD	294.9588636717694	243.00772950479575
