Novel_Fam	0505-0101	R1W5
NOVRJ4C9	151.92479437388505	0
NOVS04XA	151.92479437388505	0
NOVHNMCK	151.92479437388505	0
NOVW2HY9	151.92479437388505	0
NOV5V35J	151.92479437388505	0
NOV9IF44	151.92479437388505	0
NOVS5KAI	151.92479437388505	0
NOVG5TP2	151.92479437388505	0
NOVASGQE	151.92479437388505	0
NOV2QQ5G	151.92479437388505	0
NOVEYKIY	151.92479437388505	0
NOVH7PU5	151.92479437388505	0
NOVO4OCX	170.93901811883555	0
NOVAJRT1	360.8891410310318	0
NOVBUTS7	170.93901811883555	0
NOVQ5MY8	170.93901811883555	0
NOVRM4CZ	168.4533609088782	0
NOVU65TF	168.4533609088782	0
NOVPHY71	168.4533609088782	0
NOV8UAGW	168.4533609088782	0
NOV6E6PO	168.4533609088782	0
NOVPVMUL	168.4533609088782	0
NOV94074	168.4533609088782	0
NOVKXGJ2	168.4533609088782	0
NOVSXFZC	176.0111786401554	0
NOV60N54	176.0111786401554	0
NOVBH1VA	176.0111786401554	0
NOVBVBXG	191.82015980126803	0
NOVYRSLQ	180.39785064479824	0
NOV5QIU2	180.39785064479824	0
NOV04YFI	180.39785064479824	0
NOVXAQPI	180.39785064479824	0
NOV5YJHV	180.39785064479824	0
NOVLZC4Z	180.39785064479824	0
NOVAQN37	180.39785064479824	0
NOVL0H6L	21.352349024439537	0
NOV5WU8B	161.97132386357924	0
NOVDFJRA	161.97132386357924	0
NOVMFYMT	161.97132386357924	0
NOVUP0NS	161.97132386357924	0
NOVB2GU6	161.97132386357924	0
NOV2XHIC	161.97132386357924	0
NOVA1ZN3	161.97132386357924	0
NOV1XX1T	161.97132386357924	0
NOVL60WY	189.9501229121962	0
NOVV3Y2Q	189.9501229121962	0
NOVGVO5U	26.51551852905291	0
NOVIAFGG	181.71035883640153	0
NOVGBX2J	181.71035883640153	0
NOVDPWDN	186.3868725281686	0
NOVJK9D7	186.3868725281686	0
NOVP3X6T	180.68875038334673	0
NOVTAKUI	188.7183854462782	0
NOV42B3J	25.80971726511903	0
NOVTAJZE	28.582491909794207	0
NOVDEBPF	211.83986361538837	0
NOVZFBQO	16.384631979367448	0
NOVB6ZNI	1440.986548014089	0
NOVATNJV	31.834925427244663	0
NOV6IW3A	16.62867844071441	7.453856095692188
NOVVETWE	16.62867844071441	0
NOVAJR6U	16.62867844071441	0
NOVN9Q7M	16.62867844071441	4.5783201037468135
NOVZL07R	16.62867844071441	4.5783201037468135
NOVMWDMB	16.62867844071441	0
NOV3E38S	16.62867844071441	0
NOVABZ8X	16.62867844071441	0
NOVH4OFH	16.62867844071441	0
NOVIXPI9	16.62867844071441	2.073653445970069
NOVA12NY	16.62867844071441	0
NOV6I246	16.62867844071441	5.431267327640478
NOVUT5K5	16.62867844071441	3.3868097704900126
NOVJG9HC	49.735127103577796	13.383718940733614
NOVCPXC3	203.94204335902862	0
NOVR0GLC	899.887015449301	0
NOVO8M26	224.97175386232524	0
NOVROWG6	224.97175386232524	0
NOVADJM4	224.97175386232524	0
NOVYBLRJ	15.47643835859368	0
NOV5PPHD	15.47643835859368	0
NOVBQI43	15.47643835859368	0
NOVN1V6L	15.47643835859368	0
NOVPI3CL	15.47643835859368	0
NOVQE7PM	31.376237133698737	0
NOVWWT9E	18.094699773489708	0
NOV30R6L	225.03919314006453	0
NOVNGZ1I	34.66953535728927	4.980936185155878
NOVSEG79	34.66953535728927	17.027488933150885
NOVB0TMN	34.66953535728927	17.027488933150885
NOVCW9B2	34.66953535728927	0
NOVNMGTK	11.25703232354914	0
NOVPONH5	64.16453920973987	38.55358088679799
NOVYBT7T	15.514985472092215	0
NOV5Z2E9	15.514985472092215	0
NOVF0LX4	182.25190635713983	0
NOV63WWS	14.603738222903484	5.983136675395593
