Novel_Fam	0505-0101	R1W5
NOVRJ4C9	165.12762	0
NOVS04XA	165.12762	0
NOVHNMCK	165.12762	0
NOVW2HY9	165.12762	0
NOV5V35J	165.12762	0
NOV9IF44	165.12762	0
NOVS5KAI	165.12762	0
NOVG5TP2	165.12762	0
NOVASGQE	165.12762	0
NOV2QQ5G	165.12762	0
NOVEYKIY	165.12762	0
NOVH7PU5	165.12762	0
NOVO4OCX	185.79425	0
NOVAJRT1	392.25174000000004	0
NOVBUTS7	185.79425	0
NOVQ5MY8	185.79425	0
NOVRM4CZ	183.09258	0
NOVU65TF	183.09258	0
NOVPHY71	183.09258	0
NOV8UAGW	183.09258	0
NOV6E6PO	183.09258	0
NOVPVMUL	183.09258	0
NOV94074	183.09258	0
NOVKXGJ2	183.09258	0
NOVSXFZC	191.3072	0
NOV60N54	191.3072	0
NOVBH1VA	191.3072	0
NOVBVBXG	208.49004	0
NOVYRSLQ	196.07509	0
NOV5QIU2	196.07509	0
NOV04YFI	196.07509	0
NOVXAQPI	196.07509	0
NOV5YJHV	196.07509	0
NOVLZC4Z	196.07509	0
NOVAQN37	196.07509	0
NOVL0H6L	23.207947	0
NOV5WU8B	176.04723	0
NOVDFJRA	176.04723	0
NOVMFYMT	176.04723	0
NOVUP0NS	176.04723	0
NOVB2GU6	176.04723	0
NOV2XHIC	176.04723	0
NOVA1ZN3	176.04723	0
NOV1XX1T	176.04723	0
NOVL60WY	206.45749	0
NOVV3Y2Q	206.45749	0
NOVGVO5U	28.819815	0
NOVIAFGG	197.50166	0
NOVGBX2J	197.50166	0
NOVDPWDN	202.58458	0
NOVJK9D7	202.58458	0
NOVP3X6T	196.39127	0
NOVTAKUI	205.11871	0
NOV42B3J	28.052677	0
NOVTAJZE	31.066416	0
NOVDEBPF	230.24953	0
NOVZFBQO	17.808517	0
NOVB6ZNI	1566.2136	0
NOVATNJV	34.601498	0
NOV6IW3A	18.073772	9.4605817
NOVVETWE	18.073772	0
NOVAJR6U	18.073772	0
NOVN9Q7M	18.073772	5.8108945
NOVZL07R	18.073772	5.8108945
NOVMWDMB	18.073772	0
NOV3E38S	18.073772	0
NOVABZ8X	18.073772	0
NOVH4OFH	18.073772	0
NOVIXPI9	18.073772	2.631922
NOVA12NY	18.073772	0
NOV6I246	18.073772	6.893472
NOVUT5K5	18.073772	4.298606
NOVJG9HC	54.057293300000005	16.986881
NOVCPXC3	221.66536	0
NOVR0GLC	978.09052	0
NOVO8M26	244.52263	0
NOVROWG6	244.52263	0
NOVADJM4	244.52263	0
NOVYBLRJ	16.821398	0
NOV5PPHD	16.821398	0
NOVBQI43	16.821398	0
NOVN1V6L	16.821398	0
NOVPI3CL	16.821398	0
NOVQE7PM	34.102948	0
NOVWWT9E	19.667196	0
