OG	Kingdom	Description	0505-0101	R1W5
COG5263	Bacteria	Putative cell wall binding repeat	2607.6032313982196	634.3880419766131
COG1211	Bacteria	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)	312.0453790103133	151.88922279363126
COG0166	Bacteria	Belongs to the GPI family	417.7496133265004	341.1744066459752
COG1039	Bacteria	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	151.92479437388505	13.426186210977114
COG0546	Bacteria	IA, variant 1	1417.2077867711657	727.4387201466458
COG1193	Bacteria	Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity	560.413429226688	595.0272367582558
COG0322	Bacteria	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision	575.5467041545706	446.1033370844715
COG3947	Bacteria	cheY-homologous receiver domain	231.25221380240785	30.48311047138166
COG0290	Bacteria	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins	314.6800450065183	228.99526852727385
COG0292	Bacteria	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	333.30333650705813	242.81873171288686
COG1725	Bacteria	Transcriptional regulator	451.35354810859377	564.3101261543909
COG1131	Bacteria	ABC-type multidrug transport system, ATPase component	1917.146050490091	1849.512433362853
COG0675	Bacteria	Helix-turn-helix domain	967.1241186063226	196.56485845401514
COG0488	Bacteria	abc transporter atp-binding protein	1269.7284846087512	1066.3001185072599
COG0213	Bacteria	Pyrimidine nucleoside phosphorylase C-terminal domain	244.47337396411461	469.71084504818083
COG0144	Bacteria	NOL1 NOP2 sun family protein	690.4397634495914	528.4751113628306
COG1621	Bacteria	Glycosyl hydrolases family 32	389.9700153676189	558.0058090169093
COG0227	Bacteria	Belongs to the bacterial ribosomal protein bL28 family	290.2779066377071	168.17367288962663
COG0036	Bacteria	Belongs to the ribulose-phosphate 3-epimerase family	364.0478428768583	350.2260562122845
COG1162	Bacteria	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit	355.08539591263536	316.2828528397662
COG0515	Bacteria	Psort location CytoplasmicMembrane, score	818.6922268933671	756.7529886201769
COG0631	Bacteria	Phosphatase	382.04076288756426	305.13282936524456
COG0820	Bacteria	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs	426.6696088754651	378.5616364352493
COG1396	Bacteria	sequence-specific DNA binding	2967.4378499284794	3797.0385928474284
COG0765	Bacteria	Psort location CytoplasmicMembrane, score	1178.7390439850778	1189.6939945024894
COG1126	Bacteria	COG1126 ABC-type polar amino acid transport system, ATPase component	885.0037794180153	1030.152749148112
COG1154	Bacteria	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	553.5072580072715	482.3746358061418
COG0189	Bacteria	Belongs to the RimK family	218.1769016133243	256.0835143585153
COG0194	Bacteria	Guanylate kinase homologues.	529.6866231371716	345.0247076121383
COG0297	Bacteria	Synthesizes alpha-1,4-glucan chains using ADP-glucose	411.2310888718104	460.2499714827179
COG0215	Bacteria	Belongs to the class-I aminoacyl-tRNA synthetase family	525.1072432583818	406.97746004904576
COG0708	Bacteria	exodeoxyribonuclease III	336.5200204909804	518.5064809037787
COG0421	Bacteria	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine	241.58735469543106	204.67675163973408
