OG	Kingdom	Description	0505-0101	R1W5
COG5263	Bacteria	Putative cell wall binding repeat	2834.213580999999	805.1778601000001
COG1211	Bacteria	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)	339.16327470000004	192.78080809999997
COG0166	Bacteria	Belongs to the GPI family	454.0535972999999	433.02531020000004
COG1039	Bacteria	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	165.12762	17.0407813
COG0546	Bacteria	IA, variant 1	1540.3683765999997	923.2796227
COG1193	Bacteria	Endonuclease that is involved in the suppression of homologous recombination and may therefore have a key role in the control of bacterial genetic diversity	609.1154255999998	755.2203470000003
COG0322	Bacteria	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision	625.5638380000001	566.2031857000002
COG3947	Bacteria	cheY-homologous receiver domain	251.3488851	38.689767200000006
COG0290	Bacteria	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins	342.0269029	290.64532760000003
COG0292	Bacteria	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	362.2686272	308.1903407
COG1725	Bacteria	Transcriptional regulator	490.5778381000001	716.2335822
COG1131	Bacteria	ABC-type multidrug transport system, ATPase component	2083.7531215	2347.437790099999
COG0675	Bacteria	Helix-turn-helix domain	1051.1707757000001	249.4840092
COG0488	Bacteria	abc transporter atp-binding protein	1380.072578499999	1353.3692170000002
COG0213	Bacteria	Pyrimidine nucleoside phosphorylase C-terminal domain	265.7190129	596.1663020999999
COG0144	Bacteria	NOL1 NOP2 sun family protein	750.4415283999999	670.7510721000002
COG1621	Bacteria	Glycosyl hydrolases family 32	423.85984970000004	708.2320181000003
COG0227	Bacteria	Belongs to the bacterial ribosomal protein bL28 family	315.50412859999994	213.4493545
COG0036	Bacteria	Belongs to the ribulose-phosphate 3-epimerase family	395.68494469999996	444.51384299999995
COG1162	Bacteria	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit	385.94362800000016	401.43245740000003
COG0515	Bacteria	Psort location CytoplasmicMembrane, score	889.8396045000001	960.4858724999999
COG0631	Bacteria	Phosphatase	415.24151589999997	387.2806268999998
COG0820	Bacteria	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs	463.7487734000001	480.47792230000005
COG1396	Bacteria	sequence-specific DNA binding	3225.3191565999978	4819.2765414999985
COG0765	Bacteria	Psort location CytoplasmicMembrane, score	1281.1758195000002	1509.983166899999
COG1126	Bacteria	COG1126 ABC-type polar amino acid transport system, ATPase component	961.9138758000003	1307.4902602999996
COG1154	Bacteria	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	601.6090826000004	612.2394360000003
COG0189	Bacteria	Belongs to the RimK family	237.13728	325.0262654
COG0194	Bacteria	Guanylate kinase homologues.	575.7183466	437.91218840000005
COG0297	Bacteria	Synthesizes alpha-1,4-glucan chains using ADP-glucose	446.968589	584.1583741000001
COG0215	Bacteria	Belongs to the class-I aminoacyl-tRNA synthetase family	570.7410016999997	516.5438480999999
COG0708	Bacteria	exodeoxyribonuclease III	365.7648529000001	658.098689
COG0421	Bacteria	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine	262.58218790000006	259.77978459999997
COG1609	Bacteria	Psort location Cytoplasmic, score	2567.1221817999976	2488.0376808999977
COG0779	Bacteria	Required for maturation of 30S ribosomal subunits	360.03355849999997	353.2642114000001
COG0195	Bacteria	Participates in both transcription termination and antitermination	462.74824779999994	443.70517120000017
COG0532	Bacteria	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	578.6770120999996	641.9014697
COG0858	Bacteria	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA	394.14141629999995	408.1443366
COG0130	Bacteria	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs	399.05248370000004	405.7758734
COG1307	Bacteria	Uncharacterised protein, DegV family COG1307	1320.7334731000003	1707.6422347
COG0286	Bacteria	type I restriction enzyme M protein	1395.1493239999984	800.6318605999999
32RHJ	Bacteria	-	165.12762	0
COG2256	Bacteria	Psort location Cytoplasmic, score 8.87	486.8669543	439.7343069000002
COG1490	Bacteria	rejects L-amino acids rather than detecting D-amino acids in the active site. By recycling D-aminoacyl-tRNA to D-amino acids and free tRNA molecules, this enzyme counteracts the toxicity associated with the formation of D-aminoacyl-tRNA entities in vivo and helps enforce protein L-homochirality	401.65000840000005	325.4358222000001
COG0482	Bacteria	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	521.4900652000001	966.3670867999997
COG1653	Bacteria	peptidase activity, acting on L-amino acid peptides	4117.2199179	3395.7776841999967
COG3173	Bacteria	Phosphotransferase enzyme family	229.08225420000002	18.3071243
COG0621	Bacteria	Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12	1169.8228132999993	1170.7847513999998
COG1132	Bacteria	ABC transporter transmembrane region	6015.4330247999915	5960.793089500009
COG0480	Bacteria	Elongation factor G, domain IV	1854.3502858999996	1634.9019652999998
32BZU	Bacteria	-	165.12762	0
COG1488	Bacteria	Catalyzes the synthesis of beta-nicotinate D- ribonucleotide from nicotinate and 5-phospho-D-ribose 1-phosphate at the expense of ATP	402.1278132	364.90967639999997
COG1420	Bacteria	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	375.572198	424.14445010000003
COG0576	Bacteria	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	362.6715959	399.6553097
COG0443	Bacteria	Heat shock 70 kDa protein	742.4884567000003	842.1821427
COG0484	Bacteria	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	685.4130538999999	1058.5730822999997
COG1253	Bacteria	CBS domain	685.1163243000003	782.7866768999994
COG0223	Bacteria	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	436.02076330000006	400.6940539
COG0652	Bacteria	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	637.6740295000001	693.4427263000002
COG1466	Bacteria	DNA polymerase III, delta subunit	402.12676690000006	425.62102930000003
COG0226	Bacteria	phosphate ion binding	576.1548457999999	899.8376243
COG0573	Bacteria	probably responsible for the translocation of the substrate across the membrane	402.00041640000006	483.96945220000003
COG0581	Bacteria	Binding-protein-dependent transport system inner membrane component	462.5568742000001	534.7923389
COG1117	Bacteria	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	403.37133040000003	526.2276544
COG0704	Bacteria	PhoU domain	387.6310608	470.7030685
COG0745	Bacteria	Transcriptional regulatory protein, C terminal	3877.0668856000016	9298.985390700009
COG5002	Bacteria	Histidine kinase	1385.3965094000002	1652.8645632999994
COG2606	Bacteria	Aminoacyl-tRNA editing domain	480.51245800000015	472.12700359999985
COG0595	Bacteria	An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay	641.9404564000001	579.3240705
COG0274	Bacteria	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate	417.1419736000001	418.7197428
COG0268	Bacteria	Binds directly to 16S ribosomal RNA	384.5696400999999	375.34565039999995
COG1121	Bacteria	'COG1121 ABC-type Mn Zn transport systems, ATPase component'	411.41614240000007	156.89193889999999
COG0577	Bacteria	Psort location CytoplasmicMembrane, score 10.00	3605.4508830000004	4396.951436199997
33XZS	Bacteria	Psort location CytoplasmicMembrane, score	165.12762	0
COG0406	Bacteria	Phosphoglycerate mutase family	846.0487911000001	1165.0538601
COG2217	Bacteria	Copper-exporting ATPase	1453.9263235999997	2765.429671400001
COG1937	Bacteria	PFAM Uncharacterised BCR, COG1937	349.3534339	281.6824098
COG2033	Bacteria	Desulfoferrodoxin	449.59652629999994	471.06062800000007
COG1073	Bacteria	Protein of unknown function (DUF2974)	1236.7403464000001	1535.1056572999994
COG1502	Bacteria	Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol	650.9329157999997	1111.8069838999998
COG0618	Bacteria	DHH family	766.9594549	418.3074315999999
COG0474	Bacteria	P-type ATPase	1213.9748544999998	779.1811293000002
COG1028	Bacteria	Short-chain dehydrogenase reductase SDR	2079.4195695999997	2092.2516129999995
COG0366	Bacteria	Psort location Cytoplasmic, score	2010.6120058999993	1755.2091270999995
COG3842	Bacteria	Belongs to the ABC transporter superfamily	1803.7491353000005	1582.0413634999993
COG3833	Bacteria	PFAM binding-protein-dependent transport systems inner membrane component	192.15781580000004	78.3443635
COG1175	Bacteria	Binding-protein-dependent transport system inner membrane component	2244.9604562000004	1824.7319125999993
COG2182	Bacteria	Bacterial extracellular solute-binding protein	216.97521170000002	190.07543960000004
COG2211	Bacteria	MFS/sugar transport protein	1187.3181965000003	1455.7848892000002
COG1523	Bacteria	Belongs to the glycosyl hydrolase 13 family	695.7130689000002	510.014391
COG1472	Bacteria	Belongs to the glycosyl hydrolase 3 family	4161.837370199999	2271.112721699999
COG1704	Bacteria	LemA family	253.60681860000003	114.66395639999999
2Z8MZ	Bacteria	-	165.12762	0
COG0168	Bacteria	Cation transport protein	673.5624082999998	1153.4154458000005
COG0569	Bacteria	domain protein	955.7821484000002	1537.1244398999993
COG1409	Bacteria	Calcineurin-like phosphoesterase	1093.6139615999996	1084.0210413000002
COG0553	Bacteria	SNF2 family N-terminal domain	2059.7239388999988	2706.9811529
2ZUX8	Bacteria	-	330.25524	0
COG1476	Bacteria	Helix-turn-helix XRE-family like proteins	814.6479817999998	1838.0860872000005
COG1180	Bacteria	glycyl-radical enzyme activating activity	651.6995848999999	583.7330541
COG1328	Bacteria	CTP reductase activity	703.929668	488.99527710000007
COG0703	Bacteria	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	310.0139269	215.5291864
COG2189	Bacteria	Adenine specific DNA methylase Mod	608.8720393	174.9058721
COG3210	Bacteria	domain, Protein	673.6954709999999	1610.6206034999998
COG3639	Bacteria	Binding-protein-dependent transport system inner membrane component	364.3545855	20.3324714
COG3638	Bacteria	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system	182.43731910000002	15.016113500000001
COG3221	Bacteria	ABC transporter, phosphonate, periplasmic substrate-binding protein	186.141841	34.8063821
33NNW	Bacteria	Double zinc ribbon	165.12762	0
COG0668	Bacteria	mechanosensitive ion channel	675.4493706	496.8301163
COG0744	Bacteria	Papain family cysteine protease	561.6083144	560.3841434999997
30M8W	Bacteria	Integral membrane protein (intg_mem_TP0381)	195.6969017	12.6002921
COG1349	Bacteria	Putative ATP-dependent DNA helicase recG C-terminal	942.8933577000004	979.4023986000001
COG1051	Bacteria	NUDIX domain	1704.4106382	977.1688641000004
COG1199	Bacteria	helicase	410.0080457000001	454.9921082000002
COG0481	Bacteria	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner	493.60943110000005	532.0488380999999
2ZHAU	Bacteria	-	165.12762	0
COG0635	Bacteria	Involved in the biosynthesis of porphyrin-containing compound	653.6168696000001	862.6934592000001
COG0162	Bacteria	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)	429.3866456	360.5974068000001
COG0542	Bacteria	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE	1142.3642081999997	1607.4774259999986
COG0522	Bacteria	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	353.2801446	410.0827881999999
COG5492	Bacteria	domain, Protein	1442.5991638000003	2054.5886942000016
COG1187	Bacteria	Belongs to the pseudouridine synthase RsuA family	751.4921364999998	694.6687022000001
COG0495	Bacteria	Belongs to the class-I aminoacyl-tRNA synthetase family	544.2802703000001	585.8598489999998
COG2183	Bacteria	Tex-like protein N-terminal domain	353.2487711999999	264.7520053999999
COG0781	Bacteria	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons	347.3958606	336.0798501
COG1570	Bacteria	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	405.5160068000001	396.0869876
COG1722	Bacteria	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	368.2917846000001	304.2417872000001
COG0497	Bacteria	May be involved in recombinational repair of damaged DNA	460.5285492999999	419.88347480000004
COG0389	Bacteria	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII	703.7703669999999	845.150439
COG4974	Bacteria	recombinase XerD	2798.7469746	3030.7483896999993
COG0775	Bacteria	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	348.8310288	477.9678646000001
COG0799	Bacteria	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation	332.9995830000001	367.4668048000001
COG1057	Bacteria	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)	450.944694	419.1789236000001
COG1161	Bacteria	ribosome biogenesis GTPase YqeH	464.7877585	297.4623529
COG2179	Bacteria	Mitochondrial PGP phosphatase	317.6243454	283.38276310000003
