baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	Description	Symbol	KO	Phylum
483.265471742205	-0.165155266766936	0.257542704759808	-0.641273325606194	0.52134511661584	0.999933555398506	361	638	328	750	474	387	307	932	442	425	372	339	603	447	448	458	No	UPF0755 protein	K07082	K07082	K07082
1260.29388411166	-0.078813248850346	0.248241027781397	-0.317486797225758	0.750874255980704	0.999933555398506	1256	1629	1082	1496	1025	1072	779	2080	982	1256	1240	878	1425	1115	1205	1284	No	U32 family peptidase [EC:3.4.-.-]	prtC, trhP	K08303	K08303
1082.38688608927	0.0541955123675538	0.265411725312763	0.20419411502521	0.838201810006374	0.999933555398506	1141	1454	1059	1246	1068	760	632	2073	904	1313	1002	613	1224	746	870	1049	No	alanyl-tRNA synthetase [EC:6.1.1.7]	AARS, alaS	K01872	K01872
328.258979703442	-0.022768755220484	0.278354413550987	-0.0817977158329248	0.934807572490291	0.999933555398506	320	396	298	260	358	321	246	292	339	198	340	214	375	307	334	461	No	histidine triad (HIT) family protein	HINT1, hinT, hit	K02503	K02503
762.763811742024	-0.0252587682881959	0.245485161344329	-0.102893259005447	0.918047687839294	0.999933555398506	635	1043	632	931	768	574	420	1235	706	588	853	566	1100	598	646	850	No	competence protein ComEC	comEC	K02238	K02238
424.198307075603	-0.0503979267972172	0.234880274864597	-0.214568578933546	0.830103693711292	0.999933555398506	309	511	337	603	464	398	297	685	470	242	449	283	694	323	370	433	No	DNA polymerase III subunit delta [EC:2.7.7.7]	holA	K02340	K02340
129.682810423869	-0.229128752216779	0.359507115893152	-0.63734135455855	0.523902519302429	0.999933555398506	100	75	74	179	119	127	68	373	185	46	254	51	279	79	109	126	No	ribonuclease M5 [EC:3.1.26.8]	rnmV	K05985	K05985
175.191819577127	-0.339472695778591	0.273557501024344	-1.24095553771118	0.214622174411103	0.999933555398506	131	97	132	223	147	219	108	426	236	86	264	132	329	126	134	164	No	transcriptional repressor NrdR	nrdR	K07738	K07738
459.899221831441	-0.0341755463816706	0.242794381409875	-0.140759214373981	0.888060164403918	0.999933555398506	459	423	474	400	405	389	350	770	421	567	430	342	503	418	399	457	No	diaminopimelate epimerase [EC:5.1.1.7]	dapF	K01778	K01778
726.309963071837	0.143170962452166	0.285614653199818	0.50127316945466	0.616178885335337	0.999933555398506	568	1042	609	962	681	437	424	957	815	952	1045	347	460	635	710	753	No	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	nagB, GNPDA	K02564	K02564
425.039531602781	-0.191516797159483	0.269361869209284	-0.711001886501913	0.477083066777349	0.999933555398506	295	468	323	560	325	389	249	864	521	149	798	311	762	317	294	476	No	phosphoglucosamine mutase [EC:5.4.2.10]	glmM	K03431	K03431
372.433196386267	-0.163294159772601	0.287658377065382	-0.567666971629635	0.570261122550555	0.999933555398506	362	522	312	401	402	288	221	717	296	174	378	271	397	352	342	409	No	aspartate--ammonia ligase [EC:6.3.1.1]	asnA	K01914	K01914
73.6528183486774	-0.440041913841241	0.411036299473997	-1.07056703849359	0.284364150846156	0.999933555398506	75	37	62	121	70	117	47	92	71	105	31	89	74	19	54	96	No	spore coat protein JB	cotJB	K06333	K06333
84.6246327497281	-0.635720560631423	0.366044317318898	-1.73673112941017	0.0824346403909923	0.999933555398506	100	45	81	148	74	149	40	106	89	99	43	104	89	42	43	86	No	spore coat protein JC	cotJC	K06334	K06334
154.08302578054	-0.973649243219811	0.348440081772546	-2.79430896200796	0.00520107608998265	0.999933555398506	160	71	63	246	158	264	169	334	107	25	94	207	208	142	80	168	Yes	putative lysine transport system substrate-binding protein	lysX1	K17073	K17073
147.376716302792	-0.866463866405615	0.316853685946994	-2.73458667149785	0.00624586498203349	0.999933555398506	145	86	61	278	170	261	117	246	102	53	101	177	166	124	88	176	Yes	putative lysine transport system permease protein	lysX2	K17074	K17074
968.324915176662	-0.158343950349858	0.266902202562237	-0.593265806088413	0.553003278799106	0.999933555398506	892	1433	880	1572	560	1051	511	1422	1096	484	1541	449	1389	781	748	1012	No	polar amino acid transport system permease protein	ABC.PA.P	K02029	K02029
44.8946367190109	-0.291007631467203	0.461186320431534	-0.630997968879272	0.528041852493206	0.999933555398506	50	29	46	55	28	49	22	84	14	34	58	57	58	35	45	38	No	aspartate/glutamate/glutamine transport system permease protein	peb1B, glnP, glnM	K10040	K10040
82.3327729865771	-0.631908208569249	0.362265548856699	-1.74432321970316	0.081102744974255	0.999933555398506	86	51	46	149	111	151	49	169	70	28	74	65	106	53	52	84	No	putative lysine transport system ATP-binding protein	lysY	K17076	K17076
484.679541221614	-0.0347545603673203	0.267997433458704	-0.129682437323325	0.896817678203036	0.999933555398506	550	498	449	543	357	348	331	670	362	723	475	391	511	472	418	414	No	cysteine synthase [EC:2.5.1.47]	cysK	K01738	K01738
440.772071161714	0.0554494678936648	0.252406098522597	0.219683550509381	0.826117616520813	0.999933555398506	423	582	507	604	369	414	301	441	361	448	544	302	487	427	320	361	No	glutamate 5-kinase [EC:2.7.2.11]	proB	K00931	K00931
498.841488627777	-0.0868681497242085	0.237382163638085	-0.365942193772606	0.714408210701216	0.999933555398506	392	558	364	671	539	511	278	929	449	510	541	306	691	402	389	513	No	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	proA	K00147	K00147
403.674542815787	-0.145634151095513	0.240780024536031	-0.60484316079019	0.545283212600615	0.999933555398506	438	522	292	494	365	372	291	476	356	313	422	277	587	402	317	440	No	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	proC	K00286	K00286
640.848228684931	-0.0026648997516421	0.259692443285919	-0.0102617531643309	0.99181244928006	0.999933555398506	609	775	479	946	617	448	464	1081	470	857	609	458	661	562	569	493	No	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	murD	K01925	K01925
675.466130381334	-0.0757621087325951	0.249393851635214	-0.303784990030193	0.761291702876824	0.999933555398506	564	855	482	854	642	542	362	1209	605	867	681	612	738	498	561	652	No	DNA ligase (NAD+) [EC:6.5.1.2]	E6.5.1.2, ligA, ligB	K01972	K01972
357.239227397887	-0.0373091475372578	0.247531116204604	-0.150725080989086	0.880192587490831	0.999933555398506	408	476	317	429	373	274	254	582	421	318	333	202	391	277	304	311	No	transcription antitermination protein NusB	nusB	K03625	K03625
544.401987482012	0.0425525308598255	0.257533903421927	0.165230792118699	0.868762329744469	0.999933555398506	496	648	531	677	511	452	299	860	459	698	491	309	702	426	456	581	No	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	xseA	K03601	K03601
267.20233739743	0.256721489614997	0.27850638011436	0.921779563935241	0.356643569204383	0.999933555398506	284	304	241	150	329	219	205	261	286	210	307	137	438	229	280	303	No	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	xseB	K03602	K03602
403.298161500319	0.135184789881437	0.249651295082881	0.541494446630281	0.588166824359799	0.999933555398506	331	563	385	523	359	388	283	408	406	433	443	228	394	307	426	438	No	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]	GGPS	K13789	K13789
943.94183233901	0.0197760471731817	0.316820438794322	0.0624203641925392	0.950228078299716	0.999933555398506	982	1539	824	1534	857	709	442	1167	553	1228	733	539	731	766	906	979	No	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	dxs	K01662	K01662
229.416270915545	-0.295542556668954	0.309155696225909	-0.955966719283709	0.339089048871664	0.999933555398506	177	316	207	439	127	227	136	557	237	71	350	174	352	131	160	192	No	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	tlyA	K06442	K06442
416.137750933783	-0.016683150227456	0.247419439218708	-0.0674286154723227	0.946240489169851	0.999933555398506	362	636	409	515	353	397	293	541	393	273	458	265	473	390	377	423	No	NAD+ kinase [EC:2.7.1.23]	ppnK, NADK	K00858	K00858
310.272048590164	-0.0756724502974697	0.292069969114271	-0.259090143799971	0.79556568932929	0.999933555398506	337	376	314	442	323	266	211	326	307	147	323	129	438	314	266	340	No	transcriptional regulator of arginine metabolism	argR, ahrC	K03402	K03402
597.237599446122	0.0546007516450377	0.255334102003231	0.213840420126673	0.830671503230053	0.999933555398506	419	934	437	839	527	491	399	1210	539	798	608	344	605	456	506	525	No	DNA repair protein RecN (Recombination protein N)	recN	K03631	K03631
567.14342264412	-0.0604074094379777	0.272035625935235	-0.222056979597074	0.824269527083287	0.999933555398506	493	791	532	798	474	411	282	933	526	587	511	322	636	578	519	523	No	tyrosyl-tRNA synthetase [EC:6.1.1.1]	YARS, tyrS	K01866	K01866
340.392432597946	-0.35377426777787	0.290015743304005	-1.21984504616024	0.222523621328374	0.999933555398506	386	445	259	593	220	205	153	732	382	191	502	249	409	288	259	259	No	manganese-transporting P-type ATPase C [EC:7.2.2.22]	ctpC	K12950	K12950
425.340605213687	-0.1539914948879	0.238525434965408	-0.645597795095657	0.518539865660693	0.999933555398506	353	483	385	713	397	398	267	694	425	358	457	282	459	362	362	384	No	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	rpe, RPE	K01783	K01783
425.464960323972	-0.00165198526736289	0.265135710020263	-0.00623071583694491	0.995028640197178	0.999933555398506	477	524	389	546	316	386	284	616	323	580	417	254	414	397	399	332	No	recombination protein RecR	recR	K06187	K06187
436.40332964168	-0.319786562091378	0.240532570014517	-1.3294938064815	0.183685107799744	0.999933555398506	297	519	360	604	297	506	267	1205	481	284	638	313	557	371	276	338	No	ribonuclease J [EC:3.1.-.-]	rnj	K12574	K12574
721.161928224708	0.0843368201543408	0.276051703547665	0.305510957079744	0.759977026094258	0.999933555398506	673	886	697	634	652	609	553	778	654	984	622	614	514	833	757	523	No	cysteine-S-conjugate beta-lyase [EC:4.4.1.13]	patB, malY	K14155	K14155
257.634277574394	-0.11808073815356	0.286519500508007	-0.412121122451349	0.680250647462597	0.999933555398506	282	237	219	210	240	241	225	234	256	267	231	127	351	237	206	437	No	preprotein translocase subunit SecG	secG	K03075	K03075
771.503651985997	-0.0514075620996453	0.246148247976606	-0.208847970774633	0.834566921703556	0.999933555398506	656	823	645	1116	543	729	411	713	850	1054	946	521	1094	719	605	810	No	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]	rumA	K03215	K03215
788.018618831583	0.123291575217026	0.271084611495952	0.454808461965637	0.649247041972204	0.999933555398506	789	1284	710	1170	603	621	607	1021	540	1148	869	576	628	630	623	545	No	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	pfk, pfp	K21071	K21071
545.649995984294	-0.203616321624017	0.19745698854966	-1.03119328983794	0.302450186714966	0.999933555398506	493	662	385	721	339	691	529	953	559	507	573	340	618	479	491	510	No	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	FBA, fbaA	K01624	K01624
811.113960011122	-0.212414586475296	0.260334310561131	-0.815930047858281	0.414540145356114	0.999933555398506	778	951	731	1165	704	591	478	1594	641	676	742	608	847	743	733	786	No	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	zntA	K01534	K01534
384.317400941008	-0.121891709164431	0.250794548982316	-0.48602216299775	0.626951452297632	0.999933555398506	302	456	347	438	321	402	438	392	462	218	396	273	331	481	391	355	No	integrase/recombinase XerC	xerC	K03733	K03733
686.784371882015	-0.15209227202933	0.228788070084885	-0.664773613295922	0.50619530213266	0.999933555398506	520	821	482	578	676	759	482	1263	796	758	691	673	564	606	607	638	No	integrase/recombinase XerD	xerD	K04763	K04763
499.835594040616	-0.0612992210970739	0.262754734913165	-0.233294448974752	0.815532768776438	0.999933555398506	513	611	453	578	433	335	297	825	409	469	514	340	570	489	487	484	No	DNA repair protein RadA/Sms	radA, sms	K04485	K04485
883.700405483962	-0.349121953538357	0.214545130980969	-1.62726579690744	0.103680658789345	0.999933555398506	849	715	718	932	678	1239	802	1355	810	926	692	800	864	745	732	1090	No	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	amiABC	K01448	K01448
559.239710771444	-0.159118166013243	0.335733028254464	-0.473942545481828	0.63554087877461	0.999933555398506	533	687	516	755	606	360	337	901	347	511	227	423	361	553	650	654	No	aspartate aminotransferase [EC:2.6.1.1]	aspB	K00812	K00812
403.767200449795	-0.350066225209956	0.327816674824464	-1.06787192993586	0.28557828600838	0.999933555398506	382	508	245	462	364	186	92	1030	448	401	430	506	598	329	246	308	No	aminotransferase [EC:2.6.1.-]	K10907	K10907	K10907
219.434265122313	-0.449203824718507	0.325710752627608	-1.37914950947932	0.16784866164705	0.999933555398506	188	258	175	245	137	120	94	698	203	106	307	197	341	173	130	263	No	stage IV sporulation protein A	spoIVA	K06398	K06398
173.231130218	-0.154023090776863	0.341994068147651	-0.450367725999171	0.652445312243703	0.999933555398506	126	156	146	309	147	191	123	292	224	32	352	70	321	113	120	198	No	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	trmK	K06967	K06967
813.938507672551	-0.333845257456858	0.288651101181434	-1.15657018487179	0.247448009395909	0.999933555398506	616	886	619	1452	642	613	277	2029	794	501	1146	587	1395	513	516	932	No	RNA polymerase sporulation-specific sigma factor	sigH	K03091	K03091
