KEGG_ko	Description	Symbol	0505-0101	R1W5
K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]	ispD	386.59730970000004	218.37369850000002
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9]	GPI, pgi	454.0535972999999	433.02531020000004
K03470	ribonuclease HII [EC:3.1.26.4]	rnhB	566.1855623000001	378.3816862000002
K03471	ribonuclease HIII [EC:3.1.26.4]	rnhC	165.12762	17.0407813
K06019	pyrophosphatase PpaX [EC:3.6.1.1]	ppaX	597.00082	38.874917
K07456	DNA mismatch repair protein MutS2	mutS2	547.4884954999999	480.54927039999995
K03703	excinuclease ABC subunit C	uvrC	519.5747943999999	497.0425211
K02520	translation initiation factor IF-3	infC, MTIF3	342.0269029	290.64532760000003
K02887	large subunit ribosomal protein L20	RP-L20, MRPL20, rplT	362.2686272	308.1903407
K01990	ABC-2 type transport system ATP-binding protein	ABC-2.A	2051.282426	2118.8302279000004
K07496	putative transposase	K07496	661.4392541000002	159.1971269
K06158	ATP-binding cassette, subfamily F, member 3	ABCF3	622.4071652999999	691.0602084
K00756	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	pdp	263.7753694	596.1663020999999
K01193	beta-fructofuranosidase [EC:3.2.1.26]	INV, sacA	318.9660557	394.4018453000001
K02902	large subunit ribosomal protein L28	RP-L28, MRPL28, rpmB	315.50412859999994	213.4493545
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	rpe, RPE	385.8128047	421.14605589999996
K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	rsgA, engC	328.95540900000015	385.42137590000004
K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	prkC, stkP	792.6364438	798.5938604999999
K20074	PPM family protein phosphatase [EC:3.1.3.16]	prpC, phpP	411.74553729999997	375.9140852999998
K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	rlmN	438.12028140000007	419.79110930000013
K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	rsmB, sun	350.5606691	323.2180533000002
K17073	putative lysine transport system substrate-binding protein	lysX1	303.6275261	96.82731910000001
K17074	putative lysine transport system permease protein	lysX2	307.79784249999994	90.43121830000003
K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	ABC.PA.A	772.8015625000003	1017.7476075000002
K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	dxs	601.6090826000004	612.2394360000003
K05844	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]	rimK	165.12762	5.920276
K14940	gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]	cofF	165.12762	5.920276
K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	gph	593.1723700000001	854.7100901000001
K00942	guanylate kinase [EC:2.7.4.8]	gmk, GUK1	560.9702421000001	402.23650840000005
K00703	starch synthase [EC:2.4.1.21]	glgA	399.87175780000007	506.39278459999997
K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16]	CARS, cysS	574.4625177999999	516.5438480999999
K01142	exodeoxyribonuclease III [EC:3.1.11.2]	E3.1.11.2, xthA	350.1415723000001	576.5403919999999
K02529	LacI family transcriptional regulator	lacI, galR	1298.4525557	1265.973594
K03487	LacI family transcriptional regulator, asc operon repressor	ascG	212.2952601	21.5206762
K09748	ribosome maturation factor RimP	rimP	360.03355849999997	353.2642114000001
K02600	transcription termination/antitermination protein NusA	nusA	465.89148349999994	443.70517120000017
K02519	translation initiation factor IF-2	infB, MTIF2	781.0560515999996	636.3520302
K02834	ribosome-binding factor A	rbfA	391.95481749999993	403.8941382
K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]	truB, PUS4, TRUB1	399.05248370000004	405.7758734
K03427	type I restriction enzyme M protein [EC:2.1.1.72]	hsdM	849.4817468	610.2627807999999
